ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"328","User Story","Define Strategy",,"New","Server Migration",,"Define Strategy"
"327","User Story","CAF Server Migration Design",,"New","Server Migration",,"CAF Server Migration Design"
"326","User Story","Cloud Assessment",,"New","Server Migration",,"Cloud Assessment"
"325","User Story","Server Migration Pre-Configuration",,"New","Server Migration",,"Server Migration Pre-Configuration"
"324","User Story","Adopt-Migrate",,"New","Server Migration",,"Adopt-Migrate"
"323","User Story","Migration of On-Prem to Azure",,"New","Server Migration",,"Migration of On-Prem to Azure"
"322","User Story","Migration of Hyper-V to Azure",,"New","Server Migration",,"Migration of Hyper-V to Azure"
"321","User Story","Migration of VMware to Azure",,"New","Server Migration",,"Migration of VMware to Azure"
"320","User Story","Server Migration Transition",,"New","Server Migration",,"Server Migration Transition"
"319","User Story","Govern",,"New","Server Migration",,"Govern"
"318","User Story","Manage",,"New","Server Migration",,"Manage"
"317","User Story","Monitoring and Reporting",,"New","Server Migration",,"Monitoring and Reporting"
"316","User Story","CAF Server Migration Project Review and Clouser",,"New","Server Migration",,"CAF Server Migration Project Review and Clouser"
"315","Task","Define Strategy CAF Plan Template",,"New","Server Migration",,"Define Strategy CAF Plan Template"
"314","Task","Inventory and Rationalize Digital Estate",,"New","Server Migration",,"Inventory and Rationalize Digital Estate"
"313","Task","Detailed migration plan and effort documentation",,"New","Server Migration",,"Detailed migration plan and effort documentation"
"312","Task","Network Topology Desiging",,"New","Server Migration",,"Network Topology Desiging"
"311","Task","Security and Tisk Assessment",,"New","Server Migration",,"Security and Tisk Assessment"
"310","Task","Planning, Assessement & Desiging review and SignOff",,"New","Server Migration",,"Planning, Assessement &amp; Desiging review and SignOff"
"308","Task","Skills Readiness and Role Based Responsibilities",,"New","Server Migration",,"Skills Readiness and Role Based Responsibilities"
"306","Task","Businesss logic and Infrastructure dependencies",,"New","Server Migration",,"Businesss logic and Infrastructure dependencies"
"305","Task","Develop Cloud Adoption plan",,"New","Server Migration",,"Develop Cloud Adoption plan"
"304","Task","Create Pre-configuration documentation and Change Request",,"New","Server Migration",,"Create Pre-configuration documentation and Change Request"
"303","Task","Prep on-prem Infrastructure",,"New","Server Migration",,"Prep on-prem Infrastructure"
