ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"195","User Story","3.3 - Recommendations for Migration Phase",,"New","Azure Migrations - IaC",,"3.3 - Recommendations for Migration Phase"
"194","User Story","3.2 - Pipeline Execution for Migration",,"New","Azure Migrations - IaC",,"3.2 - Pipeline Execution for Migration"
"193","User Story","3.1 - Pre-Migration Activities",,"New","Azure Migrations - IaC",,"3.1 - Pre-Migration Activities"
"192","User Story","2.3 - Recommendations for Testing Phase",,"New","Azure Migrations - IaC",,"2.3 - Recommendations for Testing Phase"
"191","User Story","2.2 - Pipeline Execution for Testing",,"New","Azure Migrations - IaC",,"2.2 - Pipeline Execution for Testing"
"190","User Story","2.1 - Pre-Requisites",,"New","Azure Migrations - IaC",,"2.1 - Pre-Requisites"
"189","User Story","1.3 - Pipeline Execution for Rehost/Redeployment",,"New","Azure Migrations - IaC",,"1.3 - Pipeline Execution for Rehost/Redeployment"
"188","User Story","1.2 - Deployment Tools",,"New","Azure Migrations - IaC",,"1.2 - Deployment Tools"
"187","User Story","1.1 - Redeployment/Rehosting Pre-Requisites",,"New","Azure Migrations - IaC",,"1.1 - Redeployment/Rehosting Pre-Requisites"
"185","Task","3.2.1 - Example Pipeline Stages for Migration",,"New","Azure Migrations - IaC",,"<div><ul><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Initialize Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Declare input parameters</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Start Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Migrate via<span>&nbsp;</span></span><span style=""margin:0px;"">IaC</span><span style=""margin:0px;""><span>&nbsp;</span>in specified waves (non-prod to prod</span><span style=""margin:0px;""><span>&nbsp;</span>as recommended path</span><span style=""margin:0px;"">)</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul> </ul><br> </div>"
"184","Task","3.1.1 - Delineate CI/CD pipeline based on environment",,"New","Azure Migrations - IaC",,"<div><ul><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Ensure have the appropriate bicep files with the correct parameters</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Migrate via the pipeline for environments in the order of non-prod to prod</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul><br> </div>"
"182","Task","2.2.1 - Example Pipeline Stages for Test Migration",,"New","Azure Migrations - IaC",,"<div><ul><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Initialize Test Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Outline input parameters</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Run initial script with Bicep template</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Start Test Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Clean Up Test Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Delete testing resources from environment&nbsp;</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Initialize Test Migration</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Outline input parameters</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Start Test Failover</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Clean up Test Failover</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul><br> </div>"
"180","Task","2.1.2 - Setup Bicep Scripts to be utilized with smaller testing environment",,"New","Azure Migrations - IaC",,"<div><span lang=EN-US style=""margin:0px;font-size:11pt;text-align:left;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;""><ul><li><span lang=EN-US style=""margin:0px;font-size:11pt;text-align:left;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Set up an isolated<span>&nbsp;</span></span><span style=""margin:0px;"">VNet</span><span style=""margin:0px;""><span>&nbsp;</span>and test if there is the correct connectivity</span></span><span style=""margin:0px;font-size:11pt;text-align:left;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </li> </ul></span></span> </div>"
"179","Task","2.1.1 - Outline parameters that simulate a smaller scale version of your environment",,"New","Azure Migrations - IaC",,"2.1.1 - Outline parameters that simulate a smaller scale version of your environment"
"178","Task","1.3.2 - Example Pipeline Stages for Redeployment/Rehosting of Migration Waves",,"New","Azure Migrations - IaC",,"<div><ul><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Initialize Redeployment of Servers</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Validate the Migration Pre-requisites</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Initialize the Redeployment utilizing input parameters (CSV,<span>&nbsp;</span></span><span style=""margin:0px;"">variables.yml</span><span style=""margin:0px;"">)</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Dry Run</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Ensure that all the appropriate constructs are<span>&nbsp;</span></span><span style=""margin:0px;"">in the environment</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Start<span>&nbsp;</span></span><span style=""margin:0px;"">D</span><span style=""margin:0px;"">eployment of Servers</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Validation of Environment&nbsp;</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul><br> </div>"
"176","Task","1.2.4 - 3rd Party Orchestration Engines",,"New","Azure Migrations - IaC",,"<div><div style=""margin:0px;font-family:Calibri, Calibri_MSFontService, sans-serif;font-size:14.6667px;text-align:left;""><div style=""margin:0px;cursor:text;clear:both;""><p style=""margin:0px;font-weight:normal;color:windowtext;""><span lang=EN-US style=""margin:0px;font-size:11pt;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">The rehost/redeployment of migrated servers can also be executed with automation using the following<span>&nbsp;</span></span><span style=""margin:0px;"">options<span>&nbsp;</span></span><span style=""margin:0px;"">below:</span></span><span style=""margin:0px;font-size:11pt;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </div> </div><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">GitHub Actions</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">GitHub</span><span style=""margin:0px;""><span>&nbsp;</span>Actions can be used as a CI/CD pipeline<span>&nbsp;</span></span><span style=""margin:0px;"">to automate the migration of VMs.</span><span style=""margin:0px;""><span>&nbsp;</span>Code from GitHub can be utilized for these deployments.</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Documentation:<span>&nbsp;</span></span></span><a href=""https://docs.github.com/en/actions"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">GitHub Actions Documentation - GitHub Docs</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Jenkins</span><span style=""margin:0px;""><span>&nbsp;</span>with Ansible</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Jenkins can be utilized to orchestrate the flow of migration waves and VMs that are being provisioned with Ansible Infrastructure as Code templates.</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Documentation:<span>&nbsp;</span></span></span><a href=""https://www.jenkins.io/doc/"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Jenkins User Documentation</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><a href=""https://docs.ansible.com/ansible/latest/index.html"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Ansible Documentation — Ansible Documentation</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul><br> </div>"
"174","Task","1.2.2 - Shared Image Gallery + Azure Image Builder",,"New","Azure Migrations - IaC",,"<div><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Shared Image Gallery can be utilized to manage,<span>&nbsp;</span></span><span style=""margin:0px;"">share,</span><span style=""margin:0px;""><span>&nbsp;</span>and globally distribute VM images within Azure. In the context of Migrations, it can be used for storing images<span>&nbsp;</span></span><span style=""margin:0px;"">utilized for the deployment</span><span style=""margin:0px;"">.</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/shared-image-galleries"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">https://docs.microsoft.com/en-us/azure/virtual-machines/shared-image-galleries</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">Azure Image Builder is used to templatize VM Image customizations in a declarative way. In the context of migrations, it can be used in conjunction with Shared Image Gallery to execute</span><span style=""margin:0px;""><span>&nbsp;</span>custom</span><span style=""margin:0px;""><span>&nbsp;</span></span><span style=""margin:0px;"">pre- and post-</span><span style=""margin:0px;""><span>&nbsp;</span>scripts and</span><span style=""margin:0px;""><span>&nbsp;</span>install extensions onto the</span><span style=""margin:0px;""><span>&nbsp;</span>migrated</span><span style=""margin:0px;""><span>&nbsp;</span>VMs.</span></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><ul><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/image-builder-overview"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">https://docs.microsoft.com/en-us/azure/virtual-machines/image-builder-overview</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li><li style=""cursor:text;clear:both;font-size:11pt;font-family:Calibri, Calibri_MSFontService, sans-serif;""><p style=""margin:0px;font-weight:normal;color:windowtext;text-align:left;""><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">DevOps Task:<span>&nbsp;</span></span></span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/linux/image-builder-devops-task"" target=_blank rel=""noreferrer noopener"" style=""margin:0px;cursor:pointer;""><span lang=EN-US style=""margin:0px;color:rgb(0, 0, 255);text-decoration:underline;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""><span style=""margin:0px;"">https://docs.microsoft.com/en-us/azure/virtual-machines/linux/image-builder-devops-task</span></span></a><span lang=EN-US style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;""></span><span style=""margin:0px;font-family:Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span> </p> </li> </ul> </ul><br> </div>"
