ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"251","User Story","Define Strategy",,"New","SQL Migration","Plan","Define Strategy"
"250","User Story","Plan and Assessment",,"New","SQL Migration","Plan","Plan and Assessment"
"249","User Story","SQL Migration Readiness",,"New","SQL Migration","Plan","CAF SQL Migration Readiness"
"248","User Story","Migration of On-Prem to Azure VM",,"New","SQL Migration","Migrate","Migration of On-Prem to Azure VM"
"247","User Story","Migration - On-Prem to Azure SQL Database",,"New","SQL Migration","Migrate","Migration - On-Prem to Azure SQL Database"
"246","User Story","Migration - On-Prem to Azure SQL Managed Instance",,"New","SQL Migration","Migrate","Migration - On-Prem to Azure SQL Managed Instance"
"245","User Story","SQL Migration - Governance",,"New","SQL Migration","Govern","SQL Migration - Governance"
"244","User Story","CAF SQL Migration Project Review and Closer",,"New","SQL Migration",,"CAF SQL Migration Project Review and Closer"
"243","Task","Azure Backup",,"New","SQL Migration",,"Azure Backup"
"242","Task","Marketplace images",,"New","SQL Migration",,"Marketplace images"
"240","Task","2 - Align SQL Migration project to business motivations",,"New","SQL Migration","Plan","<div>Define Business Motivations, Security, Cost and Innovation strategies </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/strategy/motivations?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/strategy/motivations?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"239","Task","1 - Digital Estate: Collect Current Inventory with DMA",,"New","SQL Migration","Plan","<div>Digital Estate: Collect Current Inventory using Database Migrate Assistant </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/sql/dma/dma-overview?view=sql-server-ver15?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/dma/dma-overview?view=sql-server-ver15?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"238","Task","2 - Align assets to cloud offerings to calculate pricing",,"New","SQL Migration","Plan","<div>Align assets to cloud offerings to calculate pricing </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/sql/dma/dma-sku-recommend-sql-db?view=sql-server-ver15?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/dma/dma-sku-recommend-sql-db?view=sql-server-ver15?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"236","Task","4 - Skills Readiness Plan",,"New","SQL Migration","Plan","<div>Skills Readiness Plan - Leverage Learn portal to help define learning path for data teams </div><div><br> </div><div><a href=""http://docs.microsoft.com/learn?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">http://docs.microsoft.com/learn?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"235","Task","5 - Cloud Adoption plan",,"New","SQL Migration","Plan","<div>Develop / Update Cloud Adoption plan,&nbsp; </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/plan/plan-intro?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/plan/plan-intro?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"234","Task","Sign off on Project delivery",,"New","SQL Migration",,"Sign off on Project delivery"
"233","Task","1 - Manage Governance (Inventory / Operational Compliance)",,"New","SQL Migration","Govern","<div>Review Governance policies for the platform as well as determine the data governance needs </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/govern/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/govern/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
