ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"58","User Story","Integrate with existing Case Management Systems ",,"New","Azure Sentinel DevOps",,"<div><span>Azure Sentinel Side-by-Side with Splunk<br></span><div>This blog is intent to describe how Azure Sentinel can be used as Side-by-Side approach with Splunk.<br> </div><div><br> </div><div><span style="""">As most of the enterprises consume more and more cloud services, there is a huge requirement for Cloud-Native SIEM where Azure Sentinel comes in play and has following advantages.</span><br> </div><div><br> </div><div><span style="""">Easy collection from cloud sources</span><br> </div><div>Effortless infinite scale<br> </div><div>Integrated automation capabilities<br> </div><div>Continually maintained cloud and onprem use cases enhanced with Microsoft TI and ML<br> </div><div>Github community<br> </div><div>Microsoft research and ML capabilities<br> </div><div>Avoid sending cloud telemetry downstream<br> </div><span>There are several best practice integration options available how to operate Azure Sentinel in Side-by-Side.</span><br> </div><div><span><a href=""https://techcommunity.microsoft.com/t5/azure-sentinel/azure-sentinel-side-by-side-with-splunk/ba-p/1211266"">https://techcommunity.microsoft.com/t5/azure-sentinel/azure-sentinel-side-by-side-with-splunk/ba-p/1211266</a><br></span> </div>"
"57","User Story","Explore Github Content in Azure Sentinel Repo",,"New","Azure Sentinel DevOps",,"<div><a href=""https://github.com/Azure/Azure-Sentinel/tree/master/Playbooks"">https://github.com/Azure/Azure-Sentinel/tree/master/Playbooks</a><br> </div>"
"55","User Story","Become an Azure Sentinel Ninja: The complete level 400 training",,"New","Azure Sentinel DevOps",,"<div><span style=""color:rgb(51, 51, 51);font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;font-weight:300;text-align:left;display:inline !important;"">Become an Azure Sentinel Ninja: The complete level 400 training<br></span> </div><div><span style=""color:rgb(51, 51, 51);font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;font-weight:300;text-align:left;display:inline !important;"">This training program includes 16 modules. For each module, the post includes a presentation, preferably recorder (when still not, we are working on the recording) as well as supporting information: relevant product documentation, blog posts, and other resources.</span><br> </div><div><br> </div><div><a href=""https://techcommunity.microsoft.com/t5/azure-sentinel/become-an-azure-sentinel-ninja-the-complete-level-400-training/ba-p/1246310#.XpRjWP8Xb1Q.linkedin"">https://techcommunity.microsoft.com/t5/azure-sentinel/become-an-azure-sentinel-ninja-the-complete-level-400-training/ba-p/1246310#.XpRjWP8Xb1Q.linkedin</a><br> </div>"
"53","User Story","[BLOG] Best practices for designing an Azure Sentinel or Azure Security Center Log Analytics workspace",,"New","Azure Sentinel DevOps",,"<div><p style=""margin:0in 0in 8pt;font-size:11pt;font-family:Calibri, sans-serif;"">This blog provides the top 8 best practices for an optimal
Log Analytics workspace design in Azure Sentinel, make sure to review. </p> </div><div><a href=""https://techcommunity.microsoft.com/t5/azure-sentinel/best-practices-for-designing-an-azure-sentinel-or-azure-security/ba-p/832574"">https://techcommunity.microsoft.com/t5/azure-sentinel/best-practices-for-designing-an-azure-sentinel-or-azure-security/ba-p/832574</a><br> </div><div><br> </div><div>For additional blogs, please visit: </div><div><a href=""https://techcommunity.microsoft.com/t5/Azure-Sentinel/"">https://techcommunity.microsoft.com/t5/Azure-Sentinel/</a><br> </div><div><br> </div>"
"52","User Story","Deploying and Managing Azure Sentinel as Code",,"New","Azure Sentinel DevOps",,"<div style=""box-sizing:border-box;margin:0px;font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;color:rgb(51, 51, 51);font-size:16px;font-weight:300;text-align:left;""><span>Deploying and Managing Azure Sentinel as Code<br></span> </div><div style=""box-sizing:border-box;margin:0px;font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;color:rgb(51, 51, 51);font-size:16px;font-weight:300;text-align:left;""><span><br></span> </div><div style=""box-sizing:border-box;margin:0px;font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;color:rgb(51, 51, 51);font-size:16px;font-weight:300;text-align:left;"">How can I programmatically configure connectors? As a partner, how do I push to my new customer all the custom analytics rules/workbooks/playbooks that I have created for other customers?<br> </div><div style=""box-sizing:border-box;margin:0px;font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;color:rgb(51, 51, 51);font-size:16px;font-weight:300;text-align:left;""><br> </div><div style=""box-sizing:border-box;margin:0px;font-family:SegoeUI, Lato, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;color:rgb(51, 51, 51);font-size:16px;font-weight:300;text-align:left;""><a href=""https://techcommunity.microsoft.com/t5/azure-sentinel/deploying-and-managing-azure-sentinel-as-code/ba-p/1131928"">https://techcommunity.microsoft.com/t5/azure-sentinel/deploying-and-managing-azure-sentinel-as-code/ba-p/1131928</a><br> </div>"
"50","User Story","Notebooks",,"New","Azure Sentinel DevOps",,"<div>The foundation of Azure Sentinel is the data store; it combines high performance querying, dynamic schema, and scales to massive data volumes. The Azure portal and all Azure Sentinel tools use a common API to access this data store. The same API is also available for external tools such as Jupyter notebooks and Python. While many common tasks can be carried out in the portal, Jupyter extends the scope of what you can do with this data. It combines full programmability with a huge collection of libraries for machine learning, visualization, and data analysis. These attributes make Jupyter a compelling tool for security investigation and hunting.<br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/azure/sentinel/notebooks"">https://docs.microsoft.com/azure/sentinel/notebooks</a><br> </div>"
"49","User Story","Bookmarks",,"New","Azure Sentinel DevOps",,"<div><span>Threat hunting typically requires reviewing mountains of log data looking for evidence of malicious behavior. During this process, investigators find events that they want to remember, revisit, and analyze as part of validating potential hypotheses and understanding the full story of a compromise.<br></span><div><br> </div><span>Hunting bookmarks in Azure Sentinel help you do this, by preserving the queries you ran in Azure Sentinel - Logs, along with the query results that you deem relevant. You can also record your contextual observations and reference your findings by adding notes and tags. Bookmarked data is visible to you and your teammates for easy collaboration.</span><br> </div><div><span><br></span> </div><div><span><a href=""https://docs.microsoft.com/azure/sentinel/bookmarks"">https://docs.microsoft.com/azure/sentinel/bookmarks</a><br></span> </div>"
"48","User Story","Built-in Hunting Queries",,"New","Azure Sentinel DevOps",,"<div>Built-in queries: To get you started, a starting page provides preloaded query examples designed to get you started and get you familiar with the tables and the query language. These built-in hunting queries are developed by Microsoft security researchers on a continuous basis, adding new queries, and fine-tuning existing queries to provide you with an entry point to look for new detections and figure out where to start hunting for the beginnings of new attacks.<br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/azure/sentinel/hunting"">https://docs.microsoft.com/azure/sentinel/hunting</a><br> </div><div><br> </div><div>Public hunting query GitHub repository<br> </div><div><a href=""https://github.com/Azure/Azure-Sentinel"">https://github.com/Azure/Azure-Sentinel</a><br> </div>"
"46","User Story","Prerequisites to Deploy Azure Sentinel",,"New","Azure Sentinel DevOps",,"<div><span><br><span style=""color:rgb(0, 90, 158);text-decoration:underline;display:inline !important;""><a href=""https://docs.microsoft.com/azure/sentinel/quickstart-onboard"">https://docs.microsoft.com/azure/sentinel/quickstart-onboard</a></span><br></span> </div><div><span><br></span> </div><div><ul><li>Active Azure Subscription, if you don't have one, create a free account before you begin. </li><li>Log Analytics workspace.<a href=""https://docs.microsoft.com/azure/log-analytics/log-analytics-quick-create-workspace""> Learn how to create a Log Analytics workspace.</a> For more information about Log Analytics workspaces, see<a href=""https://docs.microsoft.com/azure/azure-monitor/platform/design-logs-deployment""> Designing your Azure Monitor Logs deployment.</a> </li><li>To enable Azure Sentinel, you need <b>contributor permissions to the subscription </b>in which the Azure Sentinel workspace resides. </li><li>To use Azure Sentinel, you need either contributor or reader permissions on the resource group that the workspace belongs to. </li><li>Additional permissions may be needed to connect specific data sources. </li> </ul><div><br> </div>Azure Sentinel is a paid service. For pricing information see <a href=""https://go.microsoft.com/fwlink/?linkid=2104058"">About Azure Sentinel.</a><br> </div><div><br> </div><div><span><a href=""https://azure.microsoft.com/pricing/details/azure-sentinel/"">https://azure.microsoft.com/pricing/details/azure-sentinel/</a><br></span> </div><div><span><a href=""https://azure.microsoft.com/pricing/details/monitor/"">https://azure.microsoft.com/pricing/details/monitor/</a><br></span> </div>"
"45","User Story","Use the investigation graph to deep dive",,"New","Azure Sentinel DevOps",,"Use the investigation graph to deep dive"
