Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"User Story","373","CAF Project Review and Closure",,"New","AKS_CloudAdoptionFramework",,"0","This user story is to review the project and close out as appropriate"
"User Story","372","Best Practices",,"New","AKS_CloudAdoptionFramework",,"0","Best Practices - All the best practices around an AKS implementation are available on the following documentation. (https://docs.microsoft.com/en-us/azure/aks/best-practices)"
"User Story","371","Manage",,"New","AKS_CloudAdoptionFramework",,"0","Manage - The operation of the digital assets that deliver tangible businessoutcomes need to be managed. Without a plan for reliable, well-managedoperations of the deployed workloads, these efforts yield any significantvalue."
"User Story","370","Govern",,"New","AKS_CloudAdoptionFramework",,"0","Governance refers to a set of rules summarized as policies aimed atminimizing risk, controlling costs and driving efficiency, transparency andaccountability for an environment. The managed services create new paradigmsfor the technologies that support the business. Cloud governance is aniterative process. As the digital estate changes over time, so do theirgovernance processes and policies."
"User Story","369","Adopt",,"New","AKS_CloudAdoptionFramework",,"0","There arevarious decisions and data points that help align with the specific plans foradoption. The following activities support alignment of the cloud adoptionplan:
<br>
<br> * &nbsp;Prerequisites: Confirmthat all prerequisite steps have been compiled with, before a plan is created.The various requirements are discussed in detail in the mentionedlink 
<br>
<br> * &nbsp;Define and prioritize workloads: Prioritize thefirst 10 workloads to establish an initial adoption backlog
<br> * &nbsp;Align assets to workloads: Identify which assets(proposed or existing) are required to support the prioritized workloads
<br> * &nbsp;Review rationalization decisions: Reviewrationalization decisions to refine adoption-path decisions: Migrate orInnovate
<br> * &nbsp;Establish iterations and releaseplans: Iterations are the time blocks allocated to dowork. Releases are the definition of the work to be done beforetriggering a change to production processes
<br>
<br> * &nbsp;Estimate timelines: Establish rough timelines forrelease planning purposes, based on initial estimates"
"User Story","368","Ready",,"New","AKS_CloudAdoptionFramework",,"0","Develop the skills needed to prepare an actionable migration plan. Thisincludes business justification and other required business-planning skills.
<br>Plan: Acquire the skills needed to put in order an actionablemigration plan. This includes business justification and other requiredbusiness-planning skills.
<br>Ready: Develop the skills in order to prepare the business,culture, people, and environment for eminent changes.
<br>As the organization paves the way for the AKS adoption effort, each teamshould document staff concerns as they rise by identifying:
<br>
<br> * &nbsp;The type of concern. For example, workers might beresistant to the changes in job duties that come with the adoption effort.
<br> * &nbsp;The impact if the concern isn't addressed. For example,resistance to adoption might result in workers being slow to execute therequired changes.
<br> * &nbsp;The area equipped to address the concern. For example, thebest equipped skill to address any concern is the Certified KubernetesApplication Developer (CKAD) program
<br> * &nbsp;The Certified Kubernetes Application Developer (CKAD)program has been developed by the Cloud Native Computing Foundation (CNCF), incollaboration with The Linux Foundation, to help expand the Kubernetesecosystem through standardized training and certification. 
<br> * &nbsp;The Cloud Native Computing Foundation is committed toexpanding the community of Kubernetes-knowledgeable application developers,thereby enabling continued growth across the broad set of organizations a usingthe technology
<br> * &nbsp;Certification is a key step in that process, allowingcertified application developers to quickly establish their credibility andvalue in the job market, while also allowing companies to hire high-qualityteams to support their growth
<br> * &nbsp;The Certified Kubernetes Application Developer examcertifies that the users can design, build, configure, and expose cloud nativeapplications for Kubernetes. 
<br> * &nbsp;A Certified Kubernetes Application Developer can defineapplication resources and use core primitives to build, monitor, andtroubleshoot scalable applications and tools in Kubernetes.
<br> * &nbsp;The successful candidate will be comfortable using anOCI-Compliant Container Runtime, such as Docker or rkt, Cloud nativeapplication concepts and architectures, and the programming language, such asPython, Node.js, Go, or Java.
<br>
<br>Thecertification program allows users to demonstrate their competence in ahands-on, command-line environment. The purpose of the Certified KubernetesApplication Developer (CKAD) program is to provide assurance that CKADs havethe skills, knowledge, and competency to perform the responsibilities ofKubernetes application developers."
"User Story","367","Plan",,"New","AKS_CloudAdoptionFramework",,"0","These set of tasks are around coming up with a plan to help migrate a workload to AKS"
"User Story","366","Define Strategy",,"New","AKS_CloudAdoptionFramework",,"0","Define Strategy - Business transformations can be implemented withthe help of the AKS Strategy. The current section defines the business agility,market demands, and various rationalizing factors associated with the adoptionof the AKS that would enable business to evolve."
"Task","364","Supporting Documents",,"New","AKS_CloudAdoptionFramework",,"0","Ensure all supporting documents are delivered."
"Task","363","SOW Checklist",,"New","AKS_CloudAdoptionFramework",,"0","Ensure the statement of work is fully delivered."
"Task","362","Outlining the Business Continuing and Defining the Disaster Recovery",,"New","AKS_CloudAdoptionFramework",,"0","task to evaluate and define the HA/DR strategy based on the documentation. (https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region)"
"Task","361","Defining And Following the Best Practices",,"New","AKS_CloudAdoptionFramework",,"0","Follow the defined best practices as needed (https://docs.microsoft.com/en-us/azure/aks/best-practices)"
"Task","358","Organize",,"New","AKS_CloudAdoptionFramework",,"0","Ensure the organizational structure is reflected within the AKS deployed resources."
"Task","357","Operator Managing the Cluster",,"New","AKS_CloudAdoptionFramework",,"0","Look the the provided guides for operating the cluster. (https://docs.microsoft.com/en-us/azure/aks/best-practices#cluster-operator-best-practices)"
"Task","355","Automation Needs",,"New","AKS_CloudAdoptionFramework",,"0","Automate as much of the process as possible"
"Task","354","Security Policies",,"New","AKS_CloudAdoptionFramework",,"0","Evaluate all AKS build-in policies and apply as appropriate (https://docs.microsoft.com/en-us/azure/aks/policy-samples)"
