Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"User Story","652","2. Create business specific setup",,"New","Unified Data Governance",,"0","Create business specific setup"
"User Story","651","1. Provision Core Infrastructure",,"New","Unified Data Governance",,"0","<div><div style=""box-sizing:border-box;"">Setup Azure Subscription </div><div style=""box-sizing:border-box;"">Setup<span style=""box-sizing:border-box;"">&nbsp;</span><a href=""https://github.com/Azure/Enterprise-Scale#:~:text=Objective%20%20%20%20Key%20customer%20landing%20zone%2c%20%20Yes%20%206%20more%20rows%20?wt.mc_id=caf-ado_datagov_content_1"">Enterprise scale Landing Zone&nbsp;</a> </div><br><br> </div>"
"User Story","650","3. Practice Data governance for your enterprise",,"New","Unified Data Governance",,"0","Practice Data governance for your enterprise"
"User Story","649","2. Initiate Re-scan",,"New","Unified Data Governance",,"0","<div><br> </div><div>Please follow this <a href=""https://docs.microsoft.com/en-us/azure/purview/register-scan-azure-multiple-sources#create-and-run-a-scan?wt.mc_id=caf-ado_datagov_content_1"">guidance</a>. </div>"
"User Story","648","1. Implement Security enabled scan configuration",,"New","Unified Data Governance",,"0","Implement Security enabled scan configuration"
"User Story","647","3. Extended data insights with granular visibility",,"New","Unified Data Governance",,"0","<div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/purview/asset-insights?wt.mc_id=caf-ado_datagov_content_1"">guidance</a> </div>"
"User Story","646","2. Initiate Re-Scan",,"New","Unified Data Governance",,"0","<div>Please refer to this <a href=""https://docs.microsoft.com/en-us/azure/purview/register-scan-azure-multiple-sources#create-and-run-a-scan?wt.mc_id=caf-ado_datagov_content_1"">guidance</a> </div>"
"User Story","645","1. Extend Setup Configuration and expand scope",,"New","Unified Data Governance",,"0","Extend Setup Configuration and expand scope"
"User Story","644","5. Implement Security",,"New","Unified Data Governance",,"0","<div><br> </div><div>Please use the following guidnce: </div><div><ol><li><a href=""https://techcommunity.microsoft.com/t5/azure-purview/network-isolation-and-security-use-private-endpoints-for-your/ba-p/2233446?wt.mc_id=caf-ado_datagov_content_1"">Use private endpoints</a><br> </li><li><a href=""https://techcommunity.microsoft.com/t5/azure-purview/march-ahead-with-azure-purview-access-management-in-azure/ba-p/2199809?wt.mc_id=caf-ado_datagov_content_1"">RBAC</a> </li><li><a href=""https://techcommunity.microsoft.com/t5/azure-purview/march-ahead-with-azure-purview-access-management-in-azure/ba-p/2209936?wt.mc_id=caf-ado_datagov_content_1"">Access Management</a> </li> </ol> </div>"
"User Story","641","2. Register and scan additional data sources as applicable",,"New","Unified Data Governance",,"0","Register and scan additional data sources as applicable"
"User Story","640","1. Extend Setup Configuration",,"New","Unified Data Governance",,"0","Extend Setup Configuration"
"User Story","639","3. Create demo for business stakeholders",,"New","Unified Data Governance",,"0","3. Create demo for business stakeholders"
"User Story","638","2. Setup Configuration",,"New","Unified Data Governance",,"0","Setup Configuration"
"User Story","637","1. Register and scan data sources",,"New","Unified Data Governance",,"0","Register and scan data sources"
"User Story","636","2. Review the scope and align with the scenarios",,"New","Unified Data Governance",,"0","Review the scope and align with the scenarios"
"User Story","635","1. Preparation",,"New","Unified Data Governance",,"0","Preparation"
"Task","634","4. Implement Process Efficiency",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">Workflow is important to automate process such as approval, escalation, review and issue management.</span><br> </div>"
"Task","633","3. Implement Operational Excellence",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">Data governance is not a one-time project. It is an ongoing program to fuel data-driven decision making and creating opportunities for business. It is critical to document key procedure and business standards.</span><br> </div><div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;""><br></span> </div><div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;"">Please refer to this <a href=""https://docs.microsoft.com/en-us/azure/architecture/framework/devops/principles?wt.mc_id=caf-ado_datagov_content_1"">guidance</a></span><br> </div>"
"Task","632","Implement Data Catalog",,"New","Unified Data Governance",,"0","Implement Data Catalog"
"Task","630","4. Solution Scenario : Discover business-critical assets",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;""><span>I&nbsp;</span>need to have a search engine that can search through all metadata in the catalog. I should be able to search using technical term, business term with either simple or complex search using wildcard.</span><br> </div>"
"Task","629","3. Solution Scenario :  Track data to understand its origin and troubleshoot data issues",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">I need to have data lineage to track data in reports, predictions, or models back to its original source and understand the changes and where the data has resided through the data life cycle.</span><br> </div>"
"Task","627","1. Solution Scenario : Govern data assets with friendly user experience",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">I need to have a Business glossary for business-specific metadata. The business users can use Purview for self-service scenarios to annotate their data and enable the data to be discovered easily via search.</span><br> </div>"
"Task","625","1. Search and browse",,"New","Unified Data Governance",,"0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">Allow end users to access Purview and perform end-to-end search and browse scenarios.</span><br> </div><div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;""><br></span> </div><div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;text-align:left;display:inline !important;"">Please refer to this <a href=""https://docs.microsoft.com/en-us/azure/purview/tutorial-browse-and-view-lineage?wt.mc_id=caf-ado_datagov_content_1"">guidance </a>and one <a href=""https://docs.microsoft.com/en-us/azure/purview/tutorial-schemas-and-classifications?wt.mc_id=caf-ado_datagov_content_1"">more</a></span> </div><div><br> </div>"
