Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"User Story","553","1. Implement data governance",,"New","Modern Data Analytics",,"0","Implement data governance"
"User Story","552","2. Organize Teams",,"New","Modern Data Analytics",,"0","<div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/organize"">Organize data operations team members for data management and analytics in Azure - Cloud Adoption Framework | Microsoft Docs</a><br> </div>"
"User Story","551","5. Provision Security for your Data estate",,"New","Modern Data Analytics",,"0","<div>When you deploy enterprise-scale for analytics and AI, consider using these automation principles to enable security, as opposed to manually applying them.<br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/secure"">Secure data management and analytics in Azure - Cloud Adoption Framework | Microsoft Docs</a><br> </div>"
"User Story","550","3. Provision Core Platform components - Data Landing ",,"New","Modern Data Analytics",,"0","Provision Core Platform components - Data Landing "
"User Story","549","4. Provision optional platform components",,"New","Modern Data Analytics",,"0","Provision optional platform components"
"User Story","548","2. Provision Core Platform components - Data Management and Governance",,"New","Modern Data Analytics",,"0","<div>Please review&nbsp; </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/eslz-platform-automation-and-devops"">Platform automation and DevOps for a data management and analytics enterprise-scale scenario - Cloud Adoption Framework | Microsoft Docs</a><br> </div><div><br> </div>"
"User Story","547","1. Design Considerations and Readiness",,"New","Modern Data Analytics",,"0","Design Considerations and Readiness"
"User Story","546","1. Review Data Management and Analytics best practices",,"New","Modern Data Analytics",,"0","Review Data Management and Analytics best practices"
"Task","545","3. Plan for implementation",,"New","Modern Data Analytics",,"0","<div>Implement as per the <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/govern-technology?wt.mc_id=devops_eslz-data-analytics_content_1"">plan</a> </div><div><br> </div>"
"Task","544","2. Review and validate requirements",,"New","Modern Data Analytics",,"0","<div>Please review the <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/govern-components?wt.mc_id=devops_eslz-data-analytics_content_1"">component requirements</a> </div>"
"Task","543","1. Define data governance requriments",,"New","Modern Data Analytics",,"0","<div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/govern-requirements?wt.mc_id=devops_eslz-data-analytics_content_1"">guidance</a> </div><div><br> </div>"
"Task","542","4. Create RACI",,"New","Modern Data Analytics",,"0","<div>Create roles and accountability matrix based on team creation </div>"
"Task","541","3. Study and validate team functions",,"New","Modern Data Analytics",,"0","<div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/organize-persona-and-teams#data-governance-roles-and-responsibilities?wt.mc_id=devops_eslz-data-analytics_content_1"">guidance</a> </div><div><br> </div>"
"Task","540","2. Study and validate personas and roles description",,"New","Modern Data Analytics",,"0","<div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/organize-persona-and-teams?wt.mc_id=devops_eslz-data-analytics_content_1"">guidance</a> </div><div><br> </div>"
"Task","538","4. Implement Data Categorization",,"New","Modern Data Analytics",,"0","<div><p style=""margin:1rem 0px 0px;color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;"">Before ingesting data, you must categorize the data as<span>&nbsp;</span><strong style=""font-weight:600;"">confidential or below</strong><span>&nbsp;</span>or<span>&nbsp;</span><strong style=""font-weight:600;"">sensitive (personal data)</strong>: </p><ul style=""margin:16px 0px 16px 38px;list-style:none;color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;""><li style=""margin:0px;list-style:outside none disc;""><p style=""margin:1rem 0px 0px;"">Data might be sorted into<span>&nbsp;</span><strong style=""font-weight:600;"">confidential or below</strong><span>&nbsp;</span>if a user gains access to the data asset in<span>&nbsp;</span><strong style=""font-weight:600;"">enriched</strong><span>&nbsp;</span>or<span>&nbsp;</span><strong style=""font-weight:600;"">curated</strong>. Users can view all columns and rows. </p> </li><li style=""margin:0px;list-style:outside none disc;""><p style=""margin:1rem 0px 0px;"">Data might be sorted into<span>&nbsp;</span><strong style=""font-weight:600;"">sensitive (personal data)</strong><span>&nbsp;</span>if there are restrictions for which columns and rows are visible to different users. </p> </li> </ul><br> </div><div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/secure-data-privacy?wt.mc_id=devops_eslz-data-analytics_content_1"">guidance</a> </div>"
"Task","536","2. Implement Authorization",,"New","Modern Data Analytics",,"0","<div>Apply <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/secure-analytics-role-based-access-control?wt.mc_id=devops_eslz-data-analytics_content_1"">RBAC </a> </div><div><br> </div>"
"Task","535","1. Implement Authentication",,"New","Modern Data Analytics",,"0","<div>Integrate <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/secure-authentication?wt.mc_id=devops_eslz-data-analytics_content_1"">with Azure AD </a> </div><div><br> </div>"
"Task","534","3. Review Data Governance maturity model",,"New","Modern Data Analytics",,"0","<div>Please review this <a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/scenarios/data-management/govern?wt.mc_id=devops_eslz-data-analytics_content_1"">guidance</a> </div>"
