Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"User Story","745","First Adoption Project",,"New","Cloud Adoption Plan","Strategy","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">In parallel to strategy and plan development, technical staff should begin implementation of a </span><a style=""cursor:pointer;font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;outline-color:invert;"" href=""https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/business-strategy/first-adoption-project"">first adoption project</a><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;""> to expand cloud skills.</span><br></span> </div>"
"User Story","744","Business Case",,"New","Cloud Adoption Plan","Strategy","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">Develop a </span><a style=""cursor:pointer;font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;outline-color:invert;"" href=""https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/business-strategy/cloud-migration-business-case"">business case</a><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;""> to validate the financial model supporting the motivations and outcomes.</span><br></span> </div>"
"User Story","741","Update this Cloud Adoption Plan",,"New","Cloud Adoption Plan","Plan","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">Update this </span><a style=""cursor:pointer;font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;outline-color:invert;"" href=""https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/plan/plan-intro"">cloud adoption plan</a><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;""> to manage effort and change.</span><br></span> </div>"
"User Story","740","Skills readiness plan",,"New","Cloud Adoption Plan","Plan","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">Create a plan for addressing </span><a style=""cursor:pointer;font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;outline-color:invert;"" href=""https://docs.microsoft.com/en-in/azure/cloud-adoption-framework/ready/suggested-skills"">skills readiness gaps</a><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">.</span><br></span> </div>"
"User Story","737","Deploy the modified blueprint",,"New","Cloud Adoption Plan","Ready","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">Update the landing zone blueprint based on the impacted considerations and deploy the modified blueprint.</span><br></span> </div>"
"User Story","735","CAF Migrate Landing Zone blueprint",,"New","Cloud Adoption Plan","Ready","0","<div><span><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">Evaluate the </span><a style=""cursor:pointer;font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;outline-color:invert;"" href=""https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/ready/azure-readiness-guide/migration-landing-zone"">CAF Migrate Landing Zone blueprint</a><span style=""display:inline !important;background-color:rgb(255, 255, 255);color:rgb(0, 0, 0);font-family:Segoe UI,SegoeUI,Segoe WP,Helvetica Neue,Helvetica,Tahoma,Arial,sans-serif;font-size:16px;list-style-type:decimal;"">. If the assumptions and decisions in that article align to your business and technical objectives, the blueprint can be used to create your landing zone.</span><br></span> </div>"
"User Story","733","Update migration assessment, decision tree, and tooling",,"New","Cloud Adoption Plan","First Host","0","<div><span>Evaluate the results of the migration from the first host to inform iterative processes</span> </div>"
"User Story","732","Migrate VMs",,"New","Cloud Adoption Plan","First Host","0","<div><span>Migrate a select group of VMs from the on-premises host to a host on Azure</span> </div>"
"User Story","731","Extend the landing zone for VMWare",,"New","Cloud Adoption Plan","First Host","0","<div><span>Resolve defined prerequisites necessary to migrate VMWare assets to Azure</span> </div>"
"User Story","730","Decomission Retired Assets",,"New","Cloud Adoption Plan","Workload Template","0","Realize cost savings by terminating retired assets"
