ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"166","User Story","11 - Community articles and further reading",,"New","SAP on Azure","General","0","11 - Community articles and further reading"
"165","User Story","10 - SAP with Azure surround services",,"New","SAP on Azure","Integration","0","10 - SAP with Azure surround services"
"164","User Story","9 - Security",,"New","SAP on Azure","General","0","9 - Security"
"163","User Story","8 - Monitoring",,"New","SAP on Azure","General","0","8 - Monitoring"
"162","User Story","7 - Backup",,"New","SAP on Azure","BCDR","0","7 - Backup"
"161","User Story","6 - Disaster Recovery for SAP",,"New","SAP on Azure","BCDR","0","6 - Disaster Recovery for SAP"
"160","User Story","5 - High-availability for SAP",,"New","SAP on Azure","High Availability","0","5 - High-availability for SAP"
"159","User Story","4 - Storage for SAP",,"New","SAP on Azure","General","0","4 - Storage for SAP"
"158","User Story","3 - Compute (VM) for SAP",,"New","SAP on Azure","General","0","3 - Compute (VM) for SAP"
"157","User Story","2 - Networking architecture for SAP",,"New","SAP on Azure","General; Networking","0","2 - Networking architecture for SAP"
"156","User Story","1 - Foundations",,"New","SAP on Azure","General","0","<div>Foundations for a working SAP landscape in Azure. </div>"
"155","Task","MaxDB",,"New","SAP on Azure","MaxDB","0","<div>Azure storage best practices for SAP MaxDB follow the general recommendations mentioned in&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_general#65fa79d6-a85f-47ee-890b-22e794f51a64"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_general#65fa79d6-a85f-47ee-890b-22e794f51a64</a><br> </div><div><br> </div><div>For a detailed guide about&nbsp;SAP MaxDB, liveCache, and Content Server deployment on Azure VMs:&nbsp; </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_maxdb#specifics-for-sap-livecache-deployments-on-windows"">https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_maxdb#specifics-for-sap-livecache-deployments-on-windows</a><br> </div><div><br> </div>"
"153","Task","Non-RDBMS storage considerations",,"New","SAP on Azure","General","0","<div>Premium storage - including Ultra Disk and Azure NetApp Files - are recommended storage devices for all SAP systems. </div><div><br> </div><div>Some systems, particularly non-production and not under high load, could be used with lesser storage solutions.&nbsp; </div><div>Following table contains a decision matrix when Standard storage could be used and which premium storage type to utilize - <a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/planning-guide-storage#storage-recommendations-for-sap-storage-scenarios"">link to documentation</a>. </div>"
"152","Task","Azure NetApp Files for SAP RDBMS storage",,"New","SAP on Azure","Azure NetApp Files; HANA; Oracle","0","<div>Azure NeApp Files can be used for storing HANA and Oracle RDBMS.&nbsp; </div><div>NFS 4.1 is a requirement at least for /log and /data. </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/hana-vm-operations-netapp"">SAP HANA Azure virtual machine ANF configuration - Azure Virtual Machines | Microsoft Docs</a>&nbsp; </div><div><br> </div><div>For low latency requirements it is essential to follow the storage sizing rules and either use Premium or Ultra service level.&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/hana-vm-operations-netapp#sizing-for-hana-database-on-azure-netapp-files"">SAP HANA Azure virtual machine ANF configuration - Azure Virtual Machines | Microsoft Docs</a>&nbsp;The provided sizing information are minimum requirements and might differ to real life implementation and IOPS/throughput needs of concrete customer situations.<br> </div><div>Oracle RDBMS starting w. version 19c </div><div><a href=""https://techcommunity.microsoft.com/t5/running-sap-applications-on-the/deploy-sap-anydb-oracle-19c-with-azure-netapp-files/ba-p/2064043"">Deploy SAP AnyDB (Oracle 19c) with Azure NetApp Files - Microsoft Tech Community</a><br> </div><div><a href=""https://launchpad.support.sap.com/#/notes/2015553"">2015553 - SAP on Microsoft Azure: Support prerequisites - SAP ONE Support Launchpad</a><br> </div><div><br> </div><div>So far no other SAP NetWeaver DBMS supported with Azure NetApp Files, please recheck SAP support note 2015553 (link above). </div>"
"151","Task","NFS solutions for SAP in Azure",,"New","SAP on Azure","Azure NetApp Files; General; High Availability","0","<div>SAP NetWeaver and SAP HANA shared directories in a high availability environment do have a need for high available NFS solution to store and allow access to SAP shared directories. </div><div>Part of high-availability for SAP NetWeaver NFS is a separate NFS cluster in order to provide access to shared directories to clustered SAP systems.&nbsp; </div><div><br> </div><div>SLES:&nbsp;&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-suse-nfs"">High availability for NFS on Azure VMs on SLES - Azure Virtual Machines | Microsoft Docs</a>&nbsp;<span>&nbsp;</span> </div><div><span><br></span> </div><div><span>RedHat:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-rhel-glusterfs"">GlusterFS on Azure VMs on RHEL for SAP NetWeaver - Azure Virtual Machines | Microsoft Docs</a> </div><div><br> </div><div>Another NFS solution providing access to SAP shared directories for clustered systems is using Azure NetApp Files&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-suse-netapp-files"">Azure VMs high availability for SAP NW on SLES with Azure NetApp Files - Azure Virtual Machines | Microsoft Docs</a> </div><div><br> </div><div>A second NFS solution for SAP shared directories is NFS 4.1 on Azure files which is currently in preview&nbsp;<a href=""https://techcommunity.microsoft.com/t5/running-sap-applications-on-the/deploy-sap-ascs-ers-with-azure-files-nfs-v4-1-shares/ba-p/2038320"">Deploy SAP ASCS/ERS with Azure Files NFS v4.1 shares - Microsoft Tech Community</a> </div><div><br> </div><div>NFS shares based on NFS v3 or NFS 4.x could also be used for HANA/DB file backup&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-hana-backup-file-level#copy-sap-hana-backup-files-to-nfs-share"">SAP HANA Azure Backup on file level - Azure Virtual Machines | Microsoft Docs</a>, please keep in mind that this solution has to be deployed and managed on your own. </div>"
"150","Task","Certified VMs for SAP on Azure",,"New","SAP on Azure","General; HANA","0","<div>Starting point: SAP certified Azure SKU documentation&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-certifications"">Microsoft Azure certifications for SAP - Azure Virtual Machines | Microsoft Docs</a> </div><div><br> </div><div><span>SAP HANA&nbsp;</span><a href=""https://www.sap.com/dmc/exp/2014-09-02-hana-hardware/enEN/#/solutions?filters=iaas;ve:24"">Certified and Supported SAP HANA® Hardware Directory</a><span>, for production workloads it is mandatory to use one of the SKU listed there. <span style=""display:inline !important;"">You must click on the entry to reveal other details and possible restrictions imposed.</span></span> </div><div><span>For HANA non-prod it is recommended to use SKU listed in SAP note&nbsp;</span><a href=""https://launchpad.support.sap.com/#/notes/1928533"">1928533 - SAP Applications on Azure: Supported Products and Azure VM types - SAP ONE Support Launchpad</a><span>.&nbsp;</span><span>This SAP note is documenting supported SKU for SAP NetWeaver, also outlining which SAP products/kernel versions/os versions/db versions are being supported.</span><br> </div><div><span><br></span> </div><div><br> </div>"
"149","Task","Hub Spoke Architecture",,"New","SAP on Azure","General; Networking","0","<div>Please find recommended networking -Hub and Spoke- architecture here&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/architecture/reference-architectures/sap/sap-overview"">SAP on Azure Architecture Guide - Azure Architecture Center | Microsoft Docs</a> </div><div>HUB and Spoke with peered vnets are generally recommended, where Hub acts as connectivity/security/management entry point vnet, while Spoke vnet isolates workloads like SAP.&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/architecture/reference-architectures/hybrid-networking/hub-spoke?tabs=cli"">Hub-spoke network topology in Azure - Azure Reference Architectures | Microsoft Docs</a>&nbsp;Vnet peering allows seamless connection, vnet communication is using Azure backbone.&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview"">Azure Virtual Network peering | Microsoft Docs</a>&nbsp;Inbound/outbound data transfer between peered vnets is charged&nbsp;<a href=""https://azure.microsoft.com/en-us/pricing/details/virtual-network/"">Virtual Network Pricing | Microsoft Azure</a> </div><div><br> </div>"
"148","Task","Linux Pacemaker Cluster",,"New","SAP on Azure","High Availability","0","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;""></span> </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">Clustering on Linux systems can cover alllayers of the SAP system, each would need to be own cluster unless there is documentation available which covers multiple components in one cluster.&nbsp; </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 20px;""><li style=""box-sizing:border-box;"">NFS layer to provide /sapmnt, /usr/sap/trans and /usr/sap/&lt;SID&gt;/&lt;instances&gt; for (A)SCS/ERS clusters. This could be VM based of NFS as service (see&nbsp;<a href=""https://dev.azure.com/bobsmess/17f98c08-1f1f-400a-8147-2e386e3115a3/_workitems/edit/319"" data-vss-mention=""version:1.0"">#319</a>&nbsp;).&nbsp;<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-high-availability-architecture-scenarios#high-availability-architecture-for-an-sap-ascsscs-instance-on-linux"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">Documentation link</a>. </li><li style=""box-sizing:border-box;"">(A)SCS and ERS layer </li><li style=""box-sizing:border-box;"">Database layer - depending on database type chosen different implantation options.. Documentation links:<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-hana-availability-one-region"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">SAP HANA</a>,<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_general"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">Other databases within section</a> </li> </ul>There is no cluster needed for SAP application servers or WebDispatchers.&nbsp; </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">Application servers, if multiple, should be deployed in Availability Set or Availability Zone (see task on AvSet/AvZone in this guide) but without any failover of individual instances -<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-high-availability-architecture-scenarios#high-availability-architecture-for-sap-application-servers"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">documentation link</a>. </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">WebDispatchers, if not integrated with ASCS but on own discrete VMs, should be accessible highly available behind a layer 7 reverse proxy/load balancer such as Azure Application Gateway and thus do not require any additional clustering either. </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">Linux clustering decision on fencing </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">RedHat Linux only supports use of Azure API Fence Agent, no further infrastructure is needed.<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-rhel-pacemaker"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">documentation link</a> </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">SUSE Linux supports both Azure API Fence Agent as well as SBD (Storage Based Death) fencing. For SBD fencing own VM(s)&nbsp; - 1 or 3 (better) - should deployed to act as iSCSI block device providers.<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-suse-pacemaker"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">documentation link</a>. </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">Advantage of SBD fencing is faster switch over time, which needs to be tested during deployment. </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);font-size:14px;"">VMs located behind a standard load balancer loose default outbound connectivity and steps are needed to provide these. See<span>&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/high-availability-guide-standard-load-balancer-outbound-connections"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;cursor:pointer;"">documentation link</a>, this applies to all nodes in a cluster. Load balancer provides the floating IP for virtual SAP hostname of the service uses - (A)SCS, ERS, DB name, DB passive/secondary, NFS, etc. </div><div> </div>"
"147","Task","Backup for SQL Server",,"New","SAP on Azure","SQL Server","0","<div><span lang=EN-US style=""font-size:10.5pt;font-family:&quot;Segoe UI&quot;,sans-serif;color:black;"">Backups are the last line of defence to protect a customer’s sensitive
data and critical business application components.&nbsp;</span><span style=""box-sizing:border-box;"">There are several ways to back up an SAP
SQL Server database, using database tools, Azure native tools or
third-party backup products.</span> </div><div><ol><li><span style=""box-sizing:border-box;""><b>SQL Server:</b>&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_sqlserver#backuprecovery-considerations-for-sql-server"">https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/dbms_guide_sqlserver#backuprecovery-considerations-for-sql-server</a></span> </li><ul><li><span style="""">SQL Server backups onto direct-attached Azure disks.</span> </li><li>From SQL 2012 CU4, directly to an Azure Storage URL (blob). </li><li>Automated backup provided by the SQL Server IaaS Agent Extension. </li><li>Azure Backup for SQL Server VMs </li> </ul> </ol><div>Other ISVs solutions can be used as well (Commvault, Veritas, Veeam,...).&nbsp; </div> </div>"
"146","Task","Backup for HANA",,"New","SAP on Azure","HANA","0","<div><span lang=EN-US style=""font-size:10.5pt;font-family:&quot;Segoe UI&quot;,sans-serif;color:black;"">Backups are the last line of defence to protect a customer’s sensitive
data and critical business application components.&nbsp;</span><span style=""box-sizing:border-box;"">There are several ways to back up an SAP HANA database in Azure, using database tools, Azure native tools or
third-party backup products. Link to the official documentation:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-hana-backup-guide"">https://docs.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-hana-backup-guide</a></span><br> </div><div><span style=""box-sizing:border-box;""><br></span> </div><div><span style=""box-sizing:border-box;"">Options available for backing up SAP HANA databases:</span> </div><div><span style=""box-sizing:border-box;""><ol style=""margin-bottom:0cm;""><li><span><b>Backup database to a file system:</b></span><span> via SAP HANA Studio or HANA SQL statements directly to managed disks, Azure blob storage&nbsp;<span style=""display:inline !important;"">(blobxfer) or</span>&nbsp;Azure file share.</span>  </li><li><span lang=EN-US><b>Azure Backup for HANA:</b> Certified SAP solution which uses backint interface and doesn´t need infrastructure deployments (<a href=""https://docs.microsoft.com/en-us/azure/backup/sap-hana-db-about"">https://docs.microsoft.com/en-us/azure/backup/sap-hana-db-about</a>)</span> </li><li><span lang=EN-US><b>HANA Backup using filesystem
snapshots:</b> Snapshots could be used as well with Azure Backup for HANA creating pre and post scripts.&nbsp;</span> </li><li><span lang=EN-US><b>Azure Netapp Files Snapshots:</b>&nbsp;In case HANA database files is hosted in ANF, you can take snapshots directly from the ANF volumes with the azacsnap tool (<a href=""https://docs.microsoft.com/en-us/azure/azure-netapp-files/azacsnap-introduction"">https://docs.microsoft.com/en-us/azure/azure-netapp-files/azacsnap-introduction</a>)</span> </li><li><span lang=EN-US><b>Third-party tools:</b> There are in the market solutions from ISVs like Commvault, Veeam, etc... that use the backing interface as well. (Ex. for Commvault: <a href=""https://azure.microsoft.com/en-us/resources/protecting-sap-hana-in-azure/"">https://azure.microsoft.com/en-us/resources/protecting-sap-hana-in-azure/</a>).</span> </li>  </ol></span> </div><div><br> </div><div> </div>"
